target_words,substitutes,query_pos,original_sentences,corrected_sentences,tagged_sentences,proficiency_levels
effortlessly,"['easily', 'smoothly', 'simply', 'naturally']",noun,What one person could achieve effortlessly could be another's nightmare.,What one person could achieve effortlessly could be another's nightmare.,What one person could achieve **effortlessly** could be another's nightmare.,high
sell,"['market', 'trade', 'merchandise']",verb,"The main focus of advertisements is to make it seem that the product is the best thing in the world, that it is  completely necessary and the most important of all, to sell the product to make profits which equals money.","The main focus of advertisements is to make it seem that the product is the best thing in the world, that it is  completely necessary and the most important of all, to sell the product to make profits which equals money.",The main focus of advertisements is to **sell** the product to make profits which equals money.,high
management,"['administration', 'leadership', 'supervision']",noun,In depth studies in management are critical in finding solutions to an ever growing and complex world.,In depth studies in management are critical in finding solutions to an ever growing and complex world.,In depth studies in **management** are critical in finding solutions to an ever growing and complex world.,high
example,"['instance', 'occurrence', 'case']",adverb,"As an example, we all know that we need air to live.","As an example, we all know that we need air to live.","As an **example**, we all know that we need air to live.",high
communities,"['societies', 'populations', 'groups.']",noun,To start with I would like to disagree with the statement that young people nowadays do not give enough time to helping their communities.,To start with I would like to disagree with the statement that young people nowadays do not give enough time to helping their communities.,To start with I would like to disagree with the statement that young people nowadays do not give enough time to helping their **communities**.,high
desires,"['inclinations', 'wishes', 'aspirations']",noun,"Besides,I lost many desires to work or study in Europe because many people are so easy going about life because thier lives are protected by the government.","Besides,I lost many desires to work or study in Europe because many people are so easy going about life because thier lives are protected by the government.","Besides,I lost many **desires** to work or study in Europe because many people are so easy going about life because their lives are protected by the government.",high
common,"['prevailing', 'widespread', 'mainstream', 'prevalent']",adjective,"I disagree with that  common thought in developped countries which is, ageing brings with it sadness and boredom, and makes enjoying life hardly possible.","I disagree with that  common thought in developped countries which is, ageing brings with it sadness and boredom, and makes enjoying life hardly possible.","I disagree with that  **common** thought in developped countries which is, ageing brings with it sadness and boredom, and makes enjoying life hardly possible.",high
public,"['municipal', 'communal', 'collective', 'community']",adjective,"The public transport systems like the buses, metros have really improved over many years.","The public transport systems like the buses, metros have really improved over many years.","The **public** transport systems like the buses, metros have really improved over many years.",high
previous,"['former', 'earlier', 'preceding', 'prior']",adjective,"As I have stated in the previous paragraph of the hygiene of the corn oil, people would not have to worry about the greenhouse effect turing the Earth into a giant fire ball, or the glaciers melting and rising 100 meters above sea level.","As I have stated in the previous paragraph of the hygiene of the corn oil, people would not have to worry about the greenhouse effect turing the Earth into a giant fire ball, or the glaciers melting and rising 100 meters above sea level.","As I have stated in the **previous** paragraph of the hygiene of the corn oil, people would not have to worry about the greenhouse effect turing the Earth into a giant fire ball, or the glaciers melting and rising 100 meters above sea level.",high
afford,"['procure', 'purchase', 'secure']",verb,So the number of poeple who can afford a car are increasing and so are the number of cars.,So the number of poeple who can afford a car are increasing and so are the number of cars.,So the number of people who can **afford** a car are increasing and so are the number of cars.,high
main actors,"['key players', 'primary participants', 'main contributors']",noun,"As the challenge increases, the main actors in the sector try to come up with innovative ideas in order to survive in this cruel world of business.","As the challenge increases, the main actors in the sector try to come up with innovative ideas in order to survive in this cruel world of business.","As the challenge increases, the **main actors** in the sector try to come up with innovative ideas in order to survive in this cruel world of business.",high
programs,"['initiatives', 'projects', 'schemes', 'ventures']",noun,"For instance, those programs usually attract women and teenagers.","For instance, those programs usually attract women and teenagers.","For instance, those **programs** usually attract women and teenagers.",high
develope,"['advance', 'progress', 'expand', 'foster']",adverb,"If a person has broad knowledge of many subjects, he will be able to talk to other people about this subjects and develope a conversation about the topic.","If a person has broad knowledge of many subjects, he will be able to talk to other people about this subjects and develope a conversation about the topic.","If a person has broad knowledge of many subjects, he will be able to talk to other people about these subjects and **develope** a conversation about the topic.",high
possess,"['have', 'own', 'hold']",adverb,It does possess all the amenities which are needed for a luxurious life.,It does possess all the amenities which are needed for a luxurious life.,It does **possess** all the amenities which are needed for a luxurious life.,high
Basically,"['essentially', 'fundamentally', 'primarily']",adverb,"Basically, I agree to this statement.","Basically, I agree to this statement.","**Basically**, I agree to this statement.",high
Last,"['Finally', 'Ultimately', 'Eventually']",adverb,"Last but not least, the old ones enjoying the care given by their sons or duaghters.","Last but not least, the old ones enjoying the care given by their sons or duaghters.","**Last** but not least, the old ones enjoying the care given by their sons or daughters.",high
successful,"['prosperous', 'accomplished']",adjective,"Yes, i do agree with the statement of successful people tring new things and take risks rather than only doing what they already know how to do well.","Yes, i do agree with the statement of successful people tring new things and take risks rather than only doing what they already know how to do well.","Yes, i do agree with the statement of **successful** people trying new things and take risks rather than only doing what they already know how to do well.",high
popular,"['famous', 'well-known', 'renowned', 'widespread']",adjective,"We have all heard about the popular proverb ""Jack of all trades but master of none"".","We have all heard about the popular proverb ""Jack of all trades but master of none"".","We have all heard about the **popular** proverb ""Jack of all trades but master of none"".",high
much,"['considerably', 'significantly', 'greatly', 'remarkably']",adjective,"Besides, they try to influence them by making their products seem much better.","Besides, they try to influence them by making their products seem much better.","Besides, they try to influence them by making their products seem **much** better.",high
personal,"['individual', 'private', 'own', 'firsthand', 'direct']",adjective,I would like to support this with the following observations from my personal experiences.,I would like to support this with the following observations from my personal experiences.,I would like to support this with the following **personal** experiences.,high
making,"['crafting', 'creating', 'forming']",adverb,They tend to be more liberal when making desicions; they want to try everything that is ahead in their lives.,They tend to be more liberal when making desicions; they want to try everything that is ahead in their lives.,They tend to be more liberal when **making** decisions; they want to try everything that is ahead in their lives.,high
problems,"['issues', 'challenges', 'difficulties']",noun,The answer lies in the fact that specific problems require specific solutions.,The answer lies in the fact that specific problems require specific solutions.,The answer lies in the fact that specific **problems** require specific solutions.,high
understood,"['comprehended', 'grasped', 'perceived']",adverb,Within these papers students have to proof that they on the one hand have understood what was lectured during the semester and on the other hand that they are able to transport this knowledge onto new subjects.,Within these papers students have to proof that they on the one hand have understood what was lectured during the semester and on the other hand that they are able to transport this knowledge onto new subjects.,Within these papers students have to proof that they on the one hand have **understood** what was lectured during the semester and on the other hand that they are able to transport this knowledge onto new subjects.,high
drawback,"['disadvantage', 'hindrance', 'obstacle']",adverb,So what I would like to demonstrate is that the use of the car could be a drawback in such situation,So what I would like to demonstrate is that the use of the car could be a drawback in such situation,So what I would like to demonstrate is that the use of the car could be a **drawback** in such situation.,high
laws,"['rules', 'principles', 'regulations']",noun,"However, helping the student understand ideas and laws will make the acceptance and endoulgment of facts a much easier process.","However, helping the student understand ideas and laws will make the acceptance and endoulgment of facts a much easier process.","However, helping the student understand ideas and **laws** will make the acceptance and endoulgment of facts a much easier process.",high
restrictions,"['limitations', 'constraints', 'hindrances']",adverb,At a young age if there is inclination to be involved in an activity there would be no restrictions.,At a young age if there is inclination to be involved in an activity there would be no restrictions.,At a young age if there is inclination to be involved in an activity there would be no **restrictions**.,high
fell,"['descended', 'tumbled', 'plunged']",verb,I fell into dillema.,I fell into dillema.,I **fell** into dillema.,high
agree,"['concur', 'coincide']",adverb,"There are several arguments why I agree with the statement, that in twenty years there will be fewer cars in use than there are today.","There are several arguments why I agree with the statement, that in twenty years there will be fewer cars in use than there are today.","There are several arguments why I **agree** with the statement, that in twenty years there will be fewer cars in use than there are today.",high
represent,"['embody', 'symbolize', 'stand for']",noun,"Because the represent our country, our country has a more succesful status in the world.","Because the represent our country, our country has a more succesful status in the world.","Because they **represent** our country, our country has a more successful status in the world.",high
understand,"['comprehend', 'grasp', 'decipher']",adverb,Understanding the idea can help learn the facts and learning the facts can help understand the problem.,Understanding the idea can help learn the facts and learning the facts can help understand the problem.,Understanding the idea can help learn the facts and learning the facts can help **understand** the problem.,high
ultimately,"['essentially', 'fundamentally', 'chiefly']",adjective,"Of course , ultimately knowledge is also for pleasure and self contentment!","Of course , ultimately knowledge is also for pleasure and self contentment!","Of course , **ultimately** knowledge is also for pleasure and self contentment!",high
traffic jam,"['congestion', 'roadblock', 'bottleneck', 'gridlock']",noun,"Because  the traffic jam is more and more serious, people living in the cities prefer to take buses and subways to go to work to avoid such heavy traffic jams.","Because  the traffic jam is more and more serious, people living in the cities prefer to take buses and subways to go to work to avoid such heavy traffic jams.","Because the **traffic jam** is more and more serious, people living in the cities prefer to take buses and subways to go to work to avoid such heavy traffic jams.",high
driving,"['operating', 'steering', 'controlling']",verb,Another merit is driving a car,Another merit is driving a car,Another merit is **driving** a car.,high
believe,"['presume', 'suppose', 'deduce']",verb,"Lastly, I believe that the need to get from one point to the other will be not as high as it is today.","Lastly, I believe that the need to get from one point to the other will be not as high as it is today.","Lastly, I **believe** that the need to get from one point to the other will be not as high as it is today.",high
correct,"['precise', 'accurate', 'exact', 'right']",adjective,"However, this thought is not correct with following reasons.","However, this thought is not correct with following reasons.","However, this **thought** is not correct with following reasons.",high
ideas,"['theories', 'philosophies', 'thoughts', 'concepts']",noun,I believe that it is more important for students to understand ideas and concepts than it is for them to learn facts.,I believe that it is more important for students to understand ideas and concepts than it is for them to learn facts.,I believe that it is more important for students to understand **ideas** and concepts than it is for them to learn facts.,high
important,"['crucial', 'vital', 'significant', 'dominant']",adjective,In these kind of situations advertisements play an important role.,In these kind of situations advertisements play an important role.,In these kind of situations advertisements play an **important** role.,high
looks,"['appears', 'seems', 'shimmers.']",verb,"She looks amazing in the lipstick, her eyes dazzel and lips shimmer.","She looks amazing in the lipstick, her eyes dazzel and lips shimmer.","She **looks** amazing in the lipstick, her eyes dazzle and lips shimmer.",high
play,"['frolic', 'romp', 'revel']",verb,"My young brother, aged 7, for example is able to play all day long without rest enjoying every single moment and feeling very intense emotions and, importantly, with not many worries and responsabilities.","My young brother, aged 7, for example is able to play all day long without rest enjoying every single moment and feeling very intense emotions and, importantly, with not many worries and responsabilities.","My young brother, aged 7, for example is able to **play** all day long without rest enjoying every single moment and feeling very intense emotions and, importantly, with not many worries and responsabilities.",high
help,"['assist', 'aid', 'support', 'cooperate']",adjective,What about those who do not help and what are their reasons ?,What about those who do not help and what are their reasons ?,What about those who do not **help** and what are their reasons ?,high
risky,"['perilous', 'hazardous', 'precarious']",adjective,"To be successful, it is important to try new stuffs even though it seems risky.","To be successful, it is important to try new stuffs even though it seems risky.","To be successful, it is important to try new stuffs even though it seems **risky**.",high
specific,"['distinct', 'unique', 'particular', 'individual']",adjective,They have to know as much as possible about this one specific subject and they have to pay attention to learn about the newest changes and innovations in this subject.,They have to know as much as possible about this one specific subject and they have to pay attention to learn about the newest changes and innovations in this subject.,They have to know as much as possible about this **one specific** subject and they have to pay attention to learn about the newest changes and innovations in this subject.,high
facts,"['truths', 'data', 'information', 'findings']",noun,"When these institutions are focusing on developing and improving the student's ability to learn new facts and concepts, it is growing and feeding the student's imagination to think in a different angle of view and thus discovering nem things.","When these institutions are focusing on developing and improving the student's ability to learn new facts and concepts, it is growing and feeding the student's imagination to think in a different angle of view and thus discovering nem things.","When these institutions are focusing on developing and improving the student's ability to learn new **facts** and concepts, it is growing and feeding the student's imagination to think in a different angle of view and thus discovering new things.",high
changed,"['adjusted', 'transformed', 'modified', 'altered']",verb,"Maybe by that time our behaviour will have changed, public transport will have spread widely, and the rebound will not occur so much.","Maybe by that time our behaviour will have changed, public transport will have spread widely, and the rebound will not occur so much.","Maybe by that time our behaviour will have **changed**, public transport will have spread widely, and the rebound will not occur so much.",high
learn,"['assimilate', 'acquire', 'absorb', 'comprehend']",verb,"Nevertheless, there are some things you have to learn by heart, because without some key facts you cannot understand some ideas.","Nevertheless, there are some things you have to learn by heart, because without some key facts you cannot understand some ideas.","Nevertheless, there are some things you have to **learn** by heart, because without some key facts you cannot understand some ideas.",high
more,"['exceeds', 'surpasses', 'transcends']",verb,Or maybe is more than that?,Or maybe is more than that?,Or maybe is **more** than that?,high
ideas,"['thoughts', 'concepts', 'beliefs', 'notions.']",noun,"The "" ideas"" are ones individual's.","The "" ideas"" are ones individual's.","The "" **ideas**"" are ones individual's.",high
younger generation,"['youthful cohort', 'emerging generation', 'rising generation']",noun,"The younger generation, in my opinion is more awakened and sensitive about the needs of the society.","The younger generation, in my opinion is more awakened and sensitive about the needs of the society.","The **younger generation**, in my opinion is more awakened and sensitive about the needs of the society.",high
will be,"['transpire', 'occur', 'happen', 'take place']",verb,So will be the case now.,So will be the case now.,So **will be** the case now.,high
chocolate,"['confectionery', 'sweet', 'delight']",noun,A famous chocolate praises its value by pointing out that milk is contained and that it is therefor healthy for children.,A famous chocolate praises its value by pointing out that milk is contained and that it is therefor healthy for children.,A famous **chocolate** praises its value by pointing out that milk is contained and that it is therefor healthy for children.,high
living,"['residing', 'inhabiting', 'existing']",verb,We are living in an increasingly diverse societies and it is much more easier for different people to interact with each other due to the advencements in information technologies.,We are living in an increasingly diverse societies and it is much more easier for different people to interact with each other due to the advencements in information technologies.,We are **living** in an increasingly diverse societies and it is much more easier for different people to interact with each other due to the advencements in information technologies.,high
old,"['elderly', 'senior', 'aged', 'ancient']",adjective,"Meanwhile, old people are more likley to know by their personal experiences","Meanwhile, old people are more likley to know by their personal experiences","Meanwhile, **old** people are more likely to know by their personal experiences.",high
towards,"['for', 'into', 'in']",adverb,The other point that we should note that world is going towards globalization.,The other point that we should note that world is going towards globalization.,The other point that we should note that world is going towards **globalization**.,high
extremely,"['incredibly', 'extraordinarily', 'immensely', 'highly']",adverb,So many people are not able to travel around the world since flight ticket prices to other countries are extremely expensive.,So many people are not able to travel around the world since flight ticket prices to other countries are extremely expensive.,So many people are not able to travel around the world since flight ticket prices to other countries are **extremely** expensive.,high
individuals,"['persons', 'beings', 'characters']",noun,Whether old people or young people enjoy life is completely up to the individuals.,Whether old people or young people enjoy life is completely up to the individuals.,Whether old people or young people enjoy life is completely up to the **individuals**.,high
concepts,"['notions', 'principles', 'theories']",noun,"Thus, concepts and ideas are theoretical approaches to the observable world and the basic element of what we would generally regard as science.","Thus, concepts and ideas are theoretical approaches to the observable world and the basic element of what we would generally regard as science.","Thus, **concepts** and ideas are theoretical approaches to the observable world and the basic element of what we would generally regard as science.",high
final,"['ultimate', 'concluding', 'last', 'definitive']",adjective,"The final image that the advertisement gives about the subject could be true or false, bad or good, but anyway if the product is ment to be just a carrier of that image or cluster of ideas associated, the advertisement is functional to the improvement of the product.","The final image that the advertisement gives about the subject could be true or false, bad or good, but anyway if the product is ment to be just a carrier of that image or cluster of ideas associated, the advertisement is functional to the improvement of the product.","The **final** image that the advertisement gives about the subject could be true or false, bad or good, but anyway if the product is ment to be just a carrier of that image or cluster of ideas associated, the advertisement is functional to the improvement of the product.",high
person,"['individual', 'character', 'human']",noun,They in fact resemble the person who was told that he would not be able to sell shoes on an island because people do not wear shoes,They in fact resemble the person who was told that he would not be able to sell shoes on an island because people do not wear shoes,They in fact resemble the **person** who was told that he would not be able to sell shoes on an island because people do not wear shoes.,high
environment-friendly,"['eco-friendly', 'green', 'sustainable', 'ecological']",noun,All of these are positive consequences of an environment-friendly policy.,All of these are positive consequences of an environment-friendly policy.,All of these are positive consequences of an **environment-friendly** policy.,high
In contrast,"['Conversely', 'Nevertheless', 'However', 'Alternatively']",adverb,"In contrast, a person acquiring a specialized knowledge in his education can let him stand out among others.","In contrast, a person acquiring a specialized knowledge in his education can let him stand out among others.","**In contrast**, a person acquiring a specialized knowledge in his education can let him stand out among others.",high
therefore,"['consequently', 'hence', 'thus', 'accordingly']",adverb,I would therefore favor a stronger focus on general knowledge of many subjects rather than an in depth focus on one subject.,I would therefore favor a stronger focus on general knowledge of many subjects rather than an in depth focus on one subject.,I would **therefore** favor a stronger focus on general knowledge of many subjects rather than an in depth focus on one subject.,high
justified,"['defended', 'rationalized', 'vindicated', 'upheld']",verb,"Hence, the argument that the best way of travel is in a group led by a tour guide cannot be justified.","Hence, the argument that the best way of travel is in a group led by a tour guide cannot be justified.","Hence, the argument that the best way of travel is in a group led by a tour guide cannot be **justified**.",high
satisfy,"['content', 'pleased', 'appeased', 'fulfilled']",adjective,Kropper still did not satisfy with this policy.,Kropper still did not satisfy with this policy.,Kropper still did not **satisfy** with this policy.,high
simpler,"['easier', 'straightforward', 'uncomplicated', 'effortless']",adjective,Technology is meant to make life simpler but are we really achieving that.,Technology is meant to make life simpler but are we really achieving that.,Technology is meant to make life **simpler** but are we really achieving that.,high
are,"['exist', 'dwell', 'stand']",verb,Tht is why human being are so different from animals.,Tht is why human being are so different from animals.,That is why human beings **are** so different from animals.,high
older,"['senior', 'elderly', 'mature']",adjective,"When speaking of older people, enjoying life could mean enjoying reading a good book or listening to classical music, or even sleeping!","When speaking of older people, enjoying life could mean enjoying reading a good book or listening to classical music, or even sleeping!","When speaking of **older** people, enjoying life could mean enjoying reading a good book or listening to classical music, or even sleeping!",high
went,"['journeyed', 'traveled', 'toured', 'roamed']",verb,"For example, I went on a school trip to China recently and we visited many famous gardens in China.","For example, I went on a school trip to China recently and we visited many famous gardens in China.","For example, I **went** on a school trip to China recently and we visited many famous gardens in China.",high
travelers,"['tourists', 'visitors', 'voyagers', 'explorers']",noun,"First of all, travelers are unable to freely go where they want because the plans are already made.","First of all, travelers are unable to freely go where they want because the plans are already made.","First of all, **travelers** are unable to freely go where they want because the plans are already made.",high
know,"['understand', 'comprehend', 'grasp', 'perceive']",verb,It is necessary to know about other academic subjects to use your special knowlegde in an effective way.,It is necessary to know about other academic subjects to use your special knowlegde in an effective way.,It is necessary to **know** about other academic subjects to use your special knowledge in an effective way.,high
statment,"['proclamation', 'declaration', 'assertion', 'proposition']",noun,"First, I must say I completely agree with the statment.","First, I must say I completely agree with the statment.","First, I must say I completely agree with the **statment**.",high
better,"['superior', 'enhanced', 'improved', 'premium']",adjective,The statement infers that advertisements often make products seem much better than they really are.,The statement infers that advertisements often make products seem much better than they really are.,The statement infers that advertisements often make products seem much **better** than they really are.,high
act,"['behave', 'conduct', 'operate']",verb,"I still get to do many fun things, but as I get older peopel around me expect more and more from me and those expectations mean, to act mature and be responsible.","I still get to do many fun things, but as I get older peopel around me expect more and more from me and those expectations mean, to act mature and be responsible.","I still get to do many fun things, but as I get older people around me expect more and more from me and those expectations mean, to **act** mature and be responsible.",high
art,"['craft', 'skill', 'technique']",noun,It is really speaking a art for any learner who is really keen to grasp and going in depth of any concept and proving the thing very clearly .,It is really speaking a art for any learner who is really keen to grasp and going in depth of any concept and proving the thing very clearly .,It is really speaking a **art** for any learner who is really keen to grasp and going in depth of any concept and proving the thing very clearly.,high
statement,"['assertion', 'claim', 'declaration', 'affirmation']",noun,I disagree with the statment there will be fewer cars in twenty years because we need cars to satisfy our need on resources on the fastest and profitablest way we can.,I disagree with the statment there will be fewer cars in twenty years because we need cars to satisfy our need on resources on the fastest and profitablest way we can.,I disagree with the **statement** there will be fewer cars in twenty years because we need cars to satisfy our need on resources on the fastest and profitablest way we can.,high
Ideas,"['notions', 'concepts', 'thoughts', 'theories']",noun,Ideas and concepts are the first steps of creation.,Ideas and concepts are the first steps of creation.,**Ideas** and concepts are the first steps of creation.,high
positive,"['constructive', 'productive', 'beneficial', 'encouraging', 'favorable']",adjective,"Emanating from the same argument, the government might also take some positive steps, like making public transport more efficient.","Emanating from the same argument, the government might also take some positive steps, like making public transport more efficient.","Emanating from the same argument, the government might also take some **positive** steps, like making public transport more efficient.",high
know,"['understand', 'comprehend', 'grasp', 'appreciate']",verb,It is very important to know about the whole work of a process than to know about facts you can easily look up in a book.,It is very important to know about the whole work of a process than to know about facts you can easily look up in a book.,It is very important to **know** about the whole work of a process than to know about facts you can easily look up in a book.,high
better know,"['better understand', 'better comprehend', 'better appreciate']",verb,Indeed I think that  young people do better know how to enjoy life than older people.,Indeed I think that  young people do better know how to enjoy life than older people.,Indeed I think that young people do **better know** how to enjoy life than older people.,high
concepts,"['notions', 'principles', 'theories', 'ideas', 'models']",noun,"As a child, one's normally forced to learn all the concepts by heart.","As a child, one's normally forced to learn all the concepts by heart.","As a child, one's normally forced to learn all the **concepts** by heart.",high
perfectly,"['completely', 'totally', 'absolutely', 'entirely', 'fully']",adjective,"I am perfectly aware of how difficult is to handle this problem, since my 15-year-old brother has plenty of time and although both me and my parents keep constantly encouraging him to do something for others, it has really no effect.","I am perfectly aware of how difficult is to handle this problem, since my 15-year-old brother has plenty of time and although both me and my parents keep constantly encouraging him to do something for others, it has really no effect.","I am **perfectly** aware of how difficult is to handle this problem, since my 15-year-old brother has plenty of time and although both me and my parents keep constantly encouraging him to do something for others, it has really no effect.",high
attacking,"['assaulting', 'infringing', 'violating']",verb,But always whitout attaking the fredom of speach or see things in a particular prespective.,But always whitout attaking the fredom of speach or see things in a particular prespective.,But always without **attacking** the freedom of speech or see things in a particular perspective.,high
very,"['extremely', 'really', 'sufficiently']",adverb,"However, when I bought and tried it, it was awful and when I read the ingredients of the product, I saw that there is very little calsium in it.","However, when I bought and tried it, it was awful and when I read the ingredients of the product, I saw that there is very little calsium in it.","However, when I bought and tried it, it was awful and when I read the ingredients of the product, I saw that there is **very** little calsium in it.",high
forget,"['overlook', 'disregard', 'ignore', 'neglect']",verb,"However, we must not forget that the main car manufacturers are already producing some cars that work with biofuels.","However, we must not forget that the main car manufacturers are already producing some cars that work with biofuels.","However, we must not **forget** that the main car manufacturers are already producing some cars that work with biofuels.",high
increased,"['escalated', 'expanded']",adverb,Because of urbanisation people are able to spend more and their buying capacity has increased .,Because of urbanisation people are able to spend more and their buying capacity has increased .,Because of urbanisation people are able to spend more and their buying capacity has **increased** .,high
approach,"['address', 'handle', 'encounter', 'treat']",verb,/,/,"Dogs are usually very friendly animals, but it is important to **approach** them correctly to avoid any problems.",high
number,"['count', 'volume', 'quantity', 'amount']",adjective,"For instance, the number and duration of traffic jams is increasing.","For instance, the number and duration of traffic jams is increasing.","For instance, the **number** and duration of traffic jams is increasing.",high
Unfortunately,"['Regrettably', 'Sadly', 'Disappointingly']",adverb,"Unfortunately, thereby they often fail to prepare their offspring for ""real life"".","Unfortunately, thereby they often fail to prepare their offspring for ""real life"".","**Unfortunately**, thereby they often fail to prepare their offspring for ""real life"".",high
shown,"['indicated', 'demonstrated', 'revealed']",verb,"So , it is apparent that prefession involvement has surely shown the way to the youth to contribute to their community.","So , it is apparent that prefession involvement has surely shown the way to the youth to contribute to their community.","So , it is apparent that profession involvement has surely **shown** the way to the youth to contribute to their community.",high
help,"['assist', 'aid', 'support', 'benefit', 'serve']",verb,how they can help their communities.,how they can help their communities.,how they can **help** their communities.,high
conclusion,"['ultimately', 'finally', 'essentially']",adverb,"In conclusion, I think it is a better strategy to try to manage several disciplines.","In conclusion, I think it is a better strategy to try to manage several disciplines.","In **conclusion**, I think it is a better strategy to try to manage several disciplines.",high
players,"['actors', 'participants', 'performers', 'characters']",adjective,"As Shaekespear told, we are the players on this huge stage, who try to enjoy in their short life span.","As Shaekespear told, we are the players on this huge stage, who try to enjoy in their short life span.","As Shaekespear told, we are the **players** on this huge stage, who try to enjoy in their short life span.",high
wash,"['cleanse', 'launder', 'rinse', 'scrub.']",verb,"For instace, wash their clothes, go to school, walk the dog.","For instace, wash their clothes, go to school, walk the dog.","For instance, **wash** their clothes, go to school, walk the dog.",high
idealistic,"['unrealistic', 'naive', 'optimistic']",adjective,In my opinion it is too idealistic to assume that the numbers of cars will decrease.,In my opinion it is too idealistic to assume that the numbers of cars will decrease.,In my opinion it is too **idealistic** to assume that the numbers of cars will decrease.,high
particularity,"['characteristic', 'trait', 'peculiarity', 'feature', 'attribute']",adjective,In the scientific fields there are a lot of examples of that particularity these people have.,In the scientific fields there are a lot of examples of that particularity these people have.,In the scientific fields there are a lot of examples of that **particularity** these people have.,high
prefer,"['favor', 'choose', 'opt', 'select']",verb,This is the main reason people prefer taking risk in whatever they do and this helps them to grow better and faster as a professional and also a human being.,This is the main reason people prefer taking risk in whatever they do and this helps them to grow better and faster as a professional and also a human being.,This is the main reason people **prefer** taking risk in whatever they do and this helps them to grow better and faster as a professional and also a human being.,high
do,"['perform', 'conduct', 'execute', 'accomplish']",verb,these corporations are always in contact with the governments in which they are established and will try to do everything beneficial to their interests.,these corporations are always in contact with the governments in which they are established and will try to do everything beneficial to their interests.,these corporations are always in contact with the governments in which they are established and will try to **do** everything beneficial to their interests.,high
traveling,"['journeying', 'wandering']",verb,"Also, in many cases the people in the group traveling together do not know each other, therefore it is less relaxing.","Also, in many cases the people in the group traveling together do not know each other, therefore it is less relaxing.","Also, in many cases the people in the group **traveling** together do not know each other, therefore it is less relaxing.",high
traditional,"['customary', 'conventional', 'habitual', 'routine', 'typical']",noun,"However, the oler people may prefer to live in a traditional way, since they don't want to change their life style after living under the same one for ten or twenty years.","However, the oler people may prefer to live in a traditional way, since they don't want to change their life style after living under the same one for ten or twenty years.","However, the older people may prefer to live in a **traditional** way, since they don't want to change their life style after living under the same one for ten or twenty years.",high
say,"['state', 'express', 'affirm']",verb,"One has to say that despite it being a good shoe that supports the back and joints, such as knees, it is definitely not what it is made out to be, and therefore also a worse shoe.","One has to say that despite it being a good shoe that supports the back and joints, such as knees, it is definitely not what it is made out to be, and therefore also a worse shoe.","One has to **say** that despite it being a good shoe that supports the back and joints, such as knees, it is definitely not what it is made out to be, and therefore also a worse shoe.",high
fluency,"['proficiency', 'mastery', 'command']",adjective,"For example, as the society is getting enlarged to the global world, the fluency in other languages are critical.","For example, as the society is getting enlarged to the global world, the fluency in other languages are critical.","For example, as the society is getting enlarged to the global world, the **fluency** in other languages are critical.",high
escape,"['reprieve', 'relief', 'distraction']",noun,"Other than that, families in suburbs are usually isolated, and their only escape is gained through going out with their cars.","Other than that, families in suburbs are usually isolated, and their only escape is gained through going out with their cars.","Other than that, families in suburbs are usually isolated, and their only **escape** is gained through going out with their cars.",high
advertisers,"['marketers', 'promoters', 'publicists', 'salespeople']",noun,"To conclude, advertisers are doing everything to create an image that does not quite exist, or exists only partially.","To conclude, advertisers are doing everything to create an image that does not quite exist, or exists only partially.","To conclude, **advertisers** are doing everything to create an image that does not quite exist, or exists only partially.",high
greatly,"['highly', 'immensely', 'tremendously', 'considerably']",adjective,His poems were greatly appreciated and he soon published a book.,His poems were greatly appreciated and he soon published a book.,His poems were **greatly** appreciated and he soon published a book.,high
famous,"['notable', 'renowned', 'prominent', 'celebrated']",adjective,This famous sentence from Henry Ford is the symbol of the beginning of the mass production of cars.,This famous sentence from Henry Ford is the symbol of the beginning of the mass production of cars.,This **famous** sentence from Henry Ford is the symbol of the beginning of the mass production of cars.,high
ads,"['advertisements', 'promotions', 'commercials', 'announcements']",adjective,How many ads about ice-creams include the nutrition facts?,How many ads about ice-creams include the nutrition facts?,How many **ads** about ice-creams include the nutrition facts?,high
also,"['additionally', 'moreover', 'furthermore', 'besides']",adverb,"She is majoring in english literature, but she also studies on other subjects such as music, physics, and golf.","She is majoring in english literature, but she also studies on other subjects such as music, physics, and golf.","She is majoring in english literature, but she also **studies** on other subjects such as music, physics, and golf.",high
also,"['additionally', 'furthermore', 'moreover']",adverb,I also believe that specialization is required in most fields.,I also believe that specialization is required in most fields.,I **also** believe that specialization is required in most fields.,high
prestigious,"['distinguished', 'reputable', 'esteemed', 'renowned', 'prominent']",adjective,A Law student is more likely to be recruited with a prestigious firm than the average High school pass-out.,A Law student is more likely to be recruited with a prestigious firm than the average High school pass-out.,A Law student is more likely to be recruited with a **prestigious** firm than the average High school pass-out.,high
expect,"['anticipate', 'predict', 'forecast']",adverb,Due to the efforts to tackle this problme one may expect a decrease in car usage over the next twenty years.,Due to the efforts to tackle this problme one may expect a decrease in car usage over the next twenty years.,Due to the efforts to tackle this problem one may **expect** a decrease in car usage over the next twenty years.,high
desire,"['longing', 'craving', 'wish', 'aspiration']",noun,"Most successful people enjoy their life as beeing successful, but they also feel the desire to do something else.","Most successful people enjoy their life as beeing successful, but they also feel the desire to do something else.","Most successful people enjoy their life as beeing successful, but they also feel the **desire** to do something else.",high
